,alias,auctionEndTime,baseCcy,category,contTdSwTime,ctMult,ctType,ctVal,ctValCcy,expTime,futureSettlement,instFamily,instId,instIdCode,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,openType,optType,quoteCcy,ruleType,settleCcy,state,stk,tickSz,tradeQuoteCcyList,uly
62,,,,1,,1,linear,10,BIGTIME,,False,BIGTIME-USDT,BIGTIME-USDT-SWAP,134576,SWAP,20,1697115300862,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BIGTIME-USDT
63,,,,1,,1,linear,1,BIO,,False,BIO-USDT,BIO-USDT-SWAP,191474,SWAP,20,1735901100474,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BIO-USDT
64,,,,1,,1,linear,10,BLUR,,False,BLUR-USDT,BLUR-USDT-SWAP,115030,SWAP,20,1676429700181,1,100000000.0000000000000000,20000000,100000000,,25000,25000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BLUR-USDT
65,,,,1,,1,linear,0.01,BNB,,False,BNB-USDT,BNB-USDT-SWAP,111061,SWAP,50,1671778428049,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.1,[],BNB-USDT
66,,,,1,,1,linear,10,BNT,,False,BNT-USDT,BNT-USDT-SWAP,10495,SWAP,20,1608620400000,1,100000000.0000000000000000,20000000,100000000,,4400,4400,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],BNT-USDT
67,,,,1,,1,linear,1000,BOME,,False,BOME-USDT,BOME-USDT-SWAP,170930,SWAP,20,1723717202042,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.000001,[],BOME-USDT
68,,,,1,,1,linear,100000,BONK,,False,BONK-USDT,BONK-USDT-SWAP,143864,SWAP,20,1704695217299,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.000000001,[],BONK-USDT
69,,,,1,,1,linear,100,BRETT,,False,BRETT-USDT,BRETT-USDT-SWAP,173473,SWAP,20,1725617701730,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],BRETT-USDT
70,,,,1,,1,linear,100000,CAT,,False,CAT-USDT,CAT-USDT-SWAP,173474,SWAP,20,1725618600681,1,100000000.0000000000000000,20000000,100000000,,50000,50000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.000000001,[],CAT-USDT
71,,,,1,,1,linear,1,CATI,,False,CATI-USDT,CATI-USDT-SWAP,175147,SWAP,20,1726828200112,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],CATI-USDT
